patient_id,patient_name,aadhaar_number,age,blood_pressure,heart_rate,oxygen_saturation,blood_sugar,bmi,hemoglobin,platelets,doctor_notes,risk_level
P-20025,Patient_25,5897-6037-8427,71,122,89,93.1,194,24.5,14.7,424535,"Patient Name: Patient_25, Aadhaar: 5897-6037-8427. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20026,Patient_26,9605-3014-2381,24,125,98,92.6,85,29.8,15.6,252476,"Patient Name: Patient_26, Aadhaar: 9605-3014-2381. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20027,Patient_27,2098-4426-4655,31,103,108,97.8,231,32.2,15.7,247537,"Patient Name: Patient_27, Aadhaar: 2098-4426-4655. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20028,Patient_28,8938-1187-6409,36,154,71,95.9,135,28.9,15.1,331429,"Patient Name: Patient_28, Aadhaar: 8938-1187-6409. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-20029,Patient_29,3092-3130-6242,71,143,100,95.5,237,22.5,13.4,367980,"Patient Name: Patient_29, Aadhaar: 3092-3130-6242. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20030,Patient_30,9549-6647-6185,37,141,106,97.8,225,29.0,14.4,447647,"Patient Name: Patient_30, Aadhaar: 9549-6647-6185. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20031,Patient_31,6776-8913-8547,46,92,77,98.0,116,23.1,11.9,225403,"Patient Name: Patient_31, Aadhaar: 6776-8913-8547. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",0
P-20032,Patient_32,8823-8355-7465,41,130,80,93.3,236,29.6,14.7,214286,"Patient Name: Patient_32, Aadhaar: 8823-8355-7465. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20033,Patient_33,2497-3555-6409,80,95,72,96.8,217,33.3,12.0,254927,"Patient Name: Patient_33, Aadhaar: 2497-3555-6409. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-20034,Patient_34,3951-2238-5727,74,114,80,93.1,193,29.7,14.8,427052,"Patient Name: Patient_34, Aadhaar: 3951-2238-5727. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20035,Patient_35,4965-6686-4701,25,102,67,97.9,70,31.9,12.3,449372,"Patient Name: Patient_35, Aadhaar: 4965-6686-4701. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20036,Patient_36,3780-8398-2588,79,97,105,97.2,156,18.5,11.6,173386,"Patient Name: Patient_36, Aadhaar: 3780-8398-2588. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",0
P-20037,Patient_37,3368-6789-1436,46,110,99,99.6,197,29.6,11.9,327826,"Patient Name: Patient_37, Aadhaar: 3368-6789-1436. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20038,Patient_38,3828-2556-8570,34,157,105,92.5,136,31.4,11.0,440446,"Patient Name: Patient_38, Aadhaar: 3828-2556-8570. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-20039,Patient_39,8480-1182-8190,83,114,66,92.5,73,19.1,15.0,402156,"Patient Name: Patient_39, Aadhaar: 8480-1182-8190. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20040,Patient_40,7687-6565-8241,23,157,82,94.2,222,32.0,15.0,398724,"Patient Name: Patient_40, Aadhaar: 7687-6565-8241. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20041,Patient_41,8651-6575-2589,75,134,103,94.1,116,22.5,13.8,351202,"Patient Name: Patient_41, Aadhaar: 8651-6575-2589. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20042,Patient_42,9851-1159-7555,45,149,91,94.0,107,28.8,11.9,175525,"Patient Name: Patient_42, Aadhaar: 9851-1159-7555. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20043,Patient_43,9244-7846-3307,79,101,70,99.2,212,30.9,11.5,229818,"Patient Name: Patient_43, Aadhaar: 9244-7846-3307. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-20044,Patient_44,2228-8226-6590,58,121,81,94.0,90,28.8,11.1,264589,"Patient Name: Patient_44, Aadhaar: 2228-8226-6590. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20045,Patient_45,7919-6585-7046,58,102,81,94.1,126,19.9,11.9,295406,"Patient Name: Patient_45, Aadhaar: 7919-6585-7046. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20046,Patient_46,5945-8927-8016,66,120,102,98.0,186,27.7,15.9,244715,"Patient Name: Patient_46, Aadhaar: 5945-8927-8016. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20047,Patient_47,8758-6086-8161,66,109,84,95.6,115,27.0,12.3,343839,"Patient Name: Patient_47, Aadhaar: 8758-6086-8161. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",0
P-20048,Patient_48,2884-2809-4167,20,107,81,98.1,211,32.5,12.9,418788,"Patient Name: Patient_48, Aadhaar: 2884-2809-4167. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-20049,Patient_49,7352-7056-3437,27,149,87,92.5,214,24.8,11.6,407438,"Patient Name: Patient_49, Aadhaar: 7352-7056-3437. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20050,Patient_50,7468-6951-6276,52,152,88,95.9,108,23.5,12.2,317679,"Patient Name: Patient_50, Aadhaar: 7468-6951-6276. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20051,Patient_51,9859-8818-5728,19,95,72,92.3,206,30.1,13.9,233178,"Patient Name: Patient_51, Aadhaar: 9859-8818-5728. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20052,Patient_52,3624-6738-5232,41,121,77,92.5,168,24.9,14.3,325458,"Patient Name: Patient_52, Aadhaar: 3624-6738-5232. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20053,Patient_53,6793-5523-6571,55,132,61,99.2,146,28.5,12.3,404466,"Patient Name: Patient_53, Aadhaar: 6793-5523-6571. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",0
P-20054,Patient_54,3224-9389-7091,39,91,88,93.1,184,28.5,11.3,236724,"Patient Name: Patient_54, Aadhaar: 3224-9389-7091. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20055,Patient_55,9662-7361-2948,43,149,80,96.2,203,32.3,13.2,379204,"Patient Name: Patient_55, Aadhaar: 9662-7361-2948. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20056,Patient_56,8094-7318-4796,60,112,74,95.2,220,27.8,12.3,246393,"Patient Name: Patient_56, Aadhaar: 8094-7318-4796. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20057,Patient_57,1234-4607-9043,72,120,86,94.7,160,26.3,12.2,226312,"Patient Name: Patient_57, Aadhaar: 1234-4607-9043. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20058,Patient_58,1522-6904-5888,56,94,109,99.1,167,20.7,16.3,221196,"Patient Name: Patient_58, Aadhaar: 1522-6904-5888. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-20059,Patient_59,6832-8122-6842,46,123,90,92.2,189,20.3,14.4,220014,"Patient Name: Patient_59, Aadhaar: 6832-8122-6842. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20060,Patient_60,2316-2124-6621,37,99,74,97.2,115,20.9,14.1,291994,"Patient Name: Patient_60, Aadhaar: 2316-2124-6621. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",0
P-20061,Patient_61,6423-3587-6672,58,91,82,99.6,107,21.2,13.3,183340,"Patient Name: Patient_61, Aadhaar: 6423-3587-6672. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",0
P-20062,Patient_62,2378-4374-2519,71,100,83,96.4,211,28.4,13.4,263711,"Patient Name: Patient_62, Aadhaar: 2378-4374-2519. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20063,Patient_63,6777-8935-7093,37,139,103,99.4,169,30.0,14.0,365250,"Patient Name: Patient_63, Aadhaar: 6777-8935-7093. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-20064,Patient_64,9418-6355-5968,36,120,72,92.4,141,26.7,14.8,161094,"Patient Name: Patient_64, Aadhaar: 9418-6355-5968. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20065,Patient_65,6574-5072-3257,83,145,81,95.3,104,31.3,14.9,417885,"Patient Name: Patient_65, Aadhaar: 6574-5072-3257. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20066,Patient_66,9588-5424-4237,47,98,102,94.1,216,33.9,11.9,261585,"Patient Name: Patient_66, Aadhaar: 9588-5424-4237. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20067,Patient_67,4893-3005-3016,70,110,96,97.8,99,31.2,13.8,218798,"Patient Name: Patient_67, Aadhaar: 4893-3005-3016. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20068,Patient_68,2772-9353-4976,51,117,92,99.8,147,29.3,13.3,351604,"Patient Name: Patient_68, Aadhaar: 2772-9353-4976. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",0
P-20069,Patient_69,2751-9967-8430,39,151,62,94.0,153,26.8,15.8,260130,"Patient Name: Patient_69, Aadhaar: 2751-9967-8430. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20070,Patient_70,8170-7469-4220,84,96,78,97.2,182,25.5,14.5,434308,"Patient Name: Patient_70, Aadhaar: 8170-7469-4220. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20071,Patient_71,1539-2461-6184,23,105,82,93.6,94,19.8,13.9,316667,"Patient Name: Patient_71, Aadhaar: 1539-2461-6184. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20072,Patient_72,9547-1234-2548,44,93,88,96.5,237,24.7,11.6,180257,"Patient Name: Patient_72, Aadhaar: 9547-1234-2548. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20073,Patient_73,8480-5213-2673,27,93,89,95.7,157,32.6,14.3,202691,"Patient Name: Patient_73, Aadhaar: 8480-5213-2673. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-20074,Patient_74,7708-8982-3100,65,129,98,99.7,83,31.0,11.6,229768,"Patient Name: Patient_74, Aadhaar: 7708-8982-3100. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20075,Patient_75,4748-4173-2815,76,106,103,96.8,223,21.8,12.9,164026,"Patient Name: Patient_75, Aadhaar: 4748-4173-2815. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20076,Patient_76,4841-9016-8011,76,141,106,94.8,171,25.7,11.8,375162,"Patient Name: Patient_76, Aadhaar: 4841-9016-8011. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20077,Patient_77,5493-1674-9088,19,141,84,92.9,219,31.2,14.8,443052,"Patient Name: Patient_77, Aadhaar: 5493-1674-9088. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20078,Patient_78,9578-3158-3661,46,125,96,93.2,152,19.5,12.1,169610,"Patient Name: Patient_78, Aadhaar: 9578-3158-3661. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-20079,Patient_79,3064-4253-5979,82,127,106,93.8,179,24.5,13.2,327718,"Patient Name: Patient_79, Aadhaar: 3064-4253-5979. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20080,Patient_80,8703-9931-2401,43,139,67,94.0,200,31.7,15.9,328646,"Patient Name: Patient_80, Aadhaar: 8703-9931-2401. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20081,Patient_81,4259-4923-5214,27,152,101,98.7,239,24.8,12.1,372123,"Patient Name: Patient_81, Aadhaar: 4259-4923-5214. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20082,Patient_82,4227-3745-7091,70,152,75,96.4,88,19.7,13.8,448326,"Patient Name: Patient_82, Aadhaar: 4227-3745-7091. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20083,Patient_83,4866-6818-3222,76,151,67,96.1,97,26.9,13.3,169288,"Patient Name: Patient_83, Aadhaar: 4866-6818-3222. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-20084,Patient_84,3792-5063-2524,39,96,60,92.9,140,31.9,11.1,234425,"Patient Name: Patient_84, Aadhaar: 3792-5063-2524. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20085,Patient_85,9224-7198-5025,68,116,103,98.8,132,27.6,15.4,150917,"Patient Name: Patient_85, Aadhaar: 9224-7198-5025. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",0
P-20086,Patient_86,3566-3803-4709,65,103,64,97.7,142,22.0,11.4,403187,"Patient Name: Patient_86, Aadhaar: 3566-3803-4709. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",0
P-20087,Patient_87,7155-1719-7516,38,94,62,92.5,193,24.5,13.6,189104,"Patient Name: Patient_87, Aadhaar: 7155-1719-7516. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20088,Patient_88,5579-1972-4718,39,144,60,97.6,188,25.5,14.1,299134,"Patient Name: Patient_88, Aadhaar: 5579-1972-4718. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-20089,Patient_89,8395-5402-5552,47,91,63,96.3,190,27.5,14.5,429143,"Patient Name: Patient_89, Aadhaar: 8395-5402-5552. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20090,Patient_90,3207-5426-7919,42,151,99,92.6,88,30.3,14.8,412091,"Patient Name: Patient_90, Aadhaar: 3207-5426-7919. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20091,Patient_91,9835-9386-9680,45,110,94,95.6,211,20.0,12.4,211169,"Patient Name: Patient_91, Aadhaar: 9835-9386-9680. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20092,Patient_92,3204-6345-4276,82,110,91,95.8,189,32.3,11.1,304542,"Patient Name: Patient_92, Aadhaar: 3204-6345-4276. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20093,Patient_93,2102-6243-7614,62,99,101,93.3,235,18.7,15.0,279744,"Patient Name: Patient_93, Aadhaar: 2102-6243-7614. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-20094,Patient_94,9707-6223-9584,24,147,93,99.5,130,24.2,13.9,209821,"Patient Name: Patient_94, Aadhaar: 9707-6223-9584. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20095,Patient_95,1630-7683-1277,66,128,102,98.7,233,18.9,15.6,367741,"Patient Name: Patient_95, Aadhaar: 1630-7683-1277. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20096,Patient_96,1232-6690-8659,26,94,84,97.3,237,24.6,15.5,399265,"Patient Name: Patient_96, Aadhaar: 1232-6690-8659. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20097,Patient_97,1025-8468-7410,53,154,69,95.7,99,26.7,15.6,364127,"Patient Name: Patient_97, Aadhaar: 1025-8468-7410. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20098,Patient_98,9652-4764-7599,18,102,80,95.3,78,26.4,13.7,424336,"Patient Name: Patient_98, Aadhaar: 9652-4764-7599. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",0
P-20099,Patient_99,6102-8006-4483,27,142,105,97.1,133,21.1,12.8,353834,"Patient Name: Patient_99, Aadhaar: 6102-8006-4483. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20100,Patient_100,2994-9682-2072,53,134,98,96.3,230,28.5,15.4,384538,"Patient Name: Patient_100, Aadhaar: 2994-9682-2072. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20101,Patient_101,7707-1215-8605,63,121,86,92.5,189,19.2,13.5,236795,"Patient Name: Patient_101, Aadhaar: 7707-1215-8605. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20102,Patient_102,3606-9350-5781,49,125,86,96.0,121,30.3,12.0,315159,"Patient Name: Patient_102, Aadhaar: 3606-9350-5781. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20103,Patient_103,4313-8763-6939,49,149,61,98.4,158,33.2,15.7,285699,"Patient Name: Patient_103, Aadhaar: 4313-8763-6939. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-20104,Patient_104,3295-6685-2696,23,100,100,95.6,211,23.8,15.9,393877,"Patient Name: Patient_104, Aadhaar: 3295-6685-2696. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20105,Patient_105,2946-3783-4644,65,152,107,92.4,122,26.5,13.6,349298,"Patient Name: Patient_105, Aadhaar: 2946-3783-4644. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20106,Patient_106,6241-7420-8557,55,110,72,98.2,147,24.4,11.4,338505,"Patient Name: Patient_106, Aadhaar: 6241-7420-8557. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",0
P-20107,Patient_107,3645-7589-7353,34,141,68,93.6,110,18.6,13.1,286285,"Patient Name: Patient_107, Aadhaar: 3645-7589-7353. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20108,Patient_108,2932-2757-6085,44,144,95,94.0,137,24.5,15.4,252412,"Patient Name: Patient_108, Aadhaar: 2932-2757-6085. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-20109,Patient_109,6637-2116-1492,71,115,81,93.3,77,30.8,16.0,169404,"Patient Name: Patient_109, Aadhaar: 6637-2116-1492. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20110,Patient_110,9811-8888-7474,67,157,101,94.6,71,27.7,12.1,266545,"Patient Name: Patient_110, Aadhaar: 9811-8888-7474. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20111,Patient_111,5958-3743-8866,52,123,85,98.0,174,20.1,11.4,372128,"Patient Name: Patient_111, Aadhaar: 5958-3743-8866. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20112,Patient_112,8160-6451-6258,42,141,71,96.1,194,31.6,15.8,300245,"Patient Name: Patient_112, Aadhaar: 8160-6451-6258. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20113,Patient_113,9548-8186-7102,45,141,76,93.6,179,26.7,13.1,334099,"Patient Name: Patient_113, Aadhaar: 9548-8186-7102. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-20114,Patient_114,1619-1882-9988,32,118,73,98.9,155,31.5,14.0,436133,"Patient Name: Patient_114, Aadhaar: 1619-1882-9988. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20115,Patient_115,4642-2296-9436,21,127,73,98.9,238,27.5,16.3,411657,"Patient Name: Patient_115, Aadhaar: 4642-2296-9436. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20116,Patient_116,3895-7593-1929,44,131,93,98.9,189,27.2,11.4,436663,"Patient Name: Patient_116, Aadhaar: 3895-7593-1929. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20117,Patient_117,6366-9711-4212,43,110,79,93.9,196,20.1,14.6,406875,"Patient Name: Patient_117, Aadhaar: 6366-9711-4212. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20118,Patient_118,3409-9199-4423,36,131,70,95.6,85,21.1,11.4,434583,"Patient Name: Patient_118, Aadhaar: 3409-9199-4423. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",0
P-20119,Patient_119,7976-8594-6158,34,102,75,99.8,131,33.6,13.1,164995,"Patient Name: Patient_119, Aadhaar: 7976-8594-6158. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20120,Patient_120,4667-6973-7236,60,153,90,98.1,182,22.0,15.4,173559,"Patient Name: Patient_120, Aadhaar: 4667-6973-7236. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20121,Patient_121,9277-3468-7217,58,106,65,92.2,227,33.7,13.4,248000,"Patient Name: Patient_121, Aadhaar: 9277-3468-7217. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20122,Patient_122,4619-2636-9155,59,98,78,92.5,81,26.7,16.5,302191,"Patient Name: Patient_122, Aadhaar: 4619-2636-9155. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20123,Patient_123,4583-5009-4326,67,130,96,95.7,104,20.6,14.1,175517,"Patient Name: Patient_123, Aadhaar: 4583-5009-4326. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",0
P-20124,Patient_124,9148-3217-5967,57,90,63,99.2,80,20.0,12.8,365558,"Patient Name: Patient_124, Aadhaar: 9148-3217-5967. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",0
P-20125,Patient_125,3369-4638-6722,56,91,106,96.3,133,21.7,12.2,255686,"Patient Name: Patient_125, Aadhaar: 3369-4638-6722. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",0
P-20126,Patient_126,5444-8618-4947,40,149,63,95.9,119,32.8,12.9,238151,"Patient Name: Patient_126, Aadhaar: 5444-8618-4947. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20127,Patient_127,2676-2196-3787,69,137,79,92.8,218,24.9,13.0,415471,"Patient Name: Patient_127, Aadhaar: 2676-2196-3787. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20128,Patient_128,8432-8927-4318,64,118,69,97.2,138,24.6,11.4,270318,"Patient Name: Patient_128, Aadhaar: 8432-8927-4318. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",0
P-20129,Patient_129,9858-7689-3176,80,99,83,98.5,117,23.4,13.0,345490,"Patient Name: Patient_129, Aadhaar: 9858-7689-3176. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",0
