patient_id,patient_name,aadhaar_number,age,blood_pressure,heart_rate,oxygen_saturation,blood_sugar,bmi,hemoglobin,platelets,doctor_notes
P-30010,Patient_10,9080-6518-3153,35,118,60,96.0,172,31.8,14.3,391422,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30011,Patient_11,7094-7974-5774,55,122,95,96.8,79,28.8,14.7,420001,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30012,Patient_12,8692-4103-3440,84,151,84,95.6,140,25.2,13.3,292692,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30013,Patient_13,5135-8124-6201,40,104,104,98.5,159,33.3,14.9,158177,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30014,Patient_14,1844-1446-4915,33,91,108,98.6,227,29.6,13.3,401842,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30015,Patient_15,4109-2234-7587,76,141,102,97.6,218,32.9,13.8,239941,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30016,Patient_16,1226-5143-8185,38,133,93,92.8,195,26.7,11.0,408121,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30017,Patient_17,6558-1186-3535,29,143,84,98.6,166,22.5,14.8,161826,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30018,Patient_18,2932-3032-2252,33,107,75,97.3,143,19.3,14.6,294962,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30019,Patient_19,6509-6074-2881,31,92,93,97.5,184,29.8,11.2,276044,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30020,Patient_20,1269-2630-5405,78,96,88,94.9,239,20.4,13.0,339103,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30021,Patient_21,7139-2574-2695,63,132,78,98.9,120,23.2,16.4,155495,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30022,Patient_22,4258-4262-2445,49,127,82,97.7,125,26.8,13.3,178481,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30023,Patient_23,7263-9411-1052,32,126,78,92.9,110,27.2,13.8,292339,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30024,Patient_24,6570-8579-2666,61,147,84,95.2,101,27.8,16.0,386774,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30025,Patient_25,7901-3785-1719,34,122,75,99.0,84,21.1,14.9,287815,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30026,Patient_26,9597-7855-3294,58,148,68,92.4,131,24.4,14.2,253475,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30027,Patient_27,9263-5482-1698,71,100,60,99.6,224,28.1,15.4,329845,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30028,Patient_28,8243-6918-1348,61,157,101,97.4,97,33.5,15.8,199476,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30029,Patient_29,6374-8869-1307,22,157,78,97.0,133,29.8,13.5,373177,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30030,Patient_30,4416-5820-4558,44,111,92,94.1,199,32.8,13.6,440696,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30031,Patient_31,5478-7531-5620,60,155,93,94.0,196,30.3,13.1,346314,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30032,Patient_32,3985-9112-9467,48,133,75,99.4,105,27.7,16.3,310020,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30033,Patient_33,3547-1336-3979,34,95,103,94.4,183,21.5,14.8,357383,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30034,Patient_34,4968-1910-2996,71,131,99,98.1,82,28.8,11.5,219093,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30035,Patient_35,4129-6447-7129,79,114,77,95.1,84,28.2,15.7,219123,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30036,Patient_36,6850-5204-8446,49,146,93,93.1,158,27.8,13.6,166535,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30037,Patient_37,9519-1314-2134,57,144,84,92.1,91,26.1,11.4,196562,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30038,Patient_38,5876-9102-9347,30,105,104,96.3,143,26.7,14.0,406323,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30039,Patient_39,6592-2724-4343,52,103,65,99.7,94,23.7,13.3,408916,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30040,Patient_40,1886-1721-8678,22,128,80,94.9,170,26.5,15.8,339607,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30041,Patient_41,4357-1870-7751,46,117,65,94.8,186,21.6,12.1,380063,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30042,Patient_42,1497-2756-2117,42,140,91,94.7,235,31.0,15.5,191269,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30043,Patient_43,3828-2647-7992,39,138,100,96.1,110,21.4,14.1,230674,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30044,Patient_44,7771-1142-3761,83,98,107,95.5,157,19.8,11.3,435291,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30045,Patient_45,4435-7622-8069,62,147,102,99.0,237,25.3,16.3,227095,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30046,Patient_46,5512-2848-3696,18,134,98,96.0,179,28.7,13.8,394172,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30047,Patient_47,2717-4072-3786,61,111,90,96.0,189,25.3,12.6,350003,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30048,Patient_48,4791-4871-2806,56,121,101,93.1,166,22.8,13.6,240925,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30049,Patient_49,2504-4308-8117,71,158,69,99.8,214,27.2,15.7,216381,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30050,Patient_50,6048-9263-2690,46,158,89,94.0,126,23.9,12.7,249468,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30051,Patient_51,4303-4113-8850,71,131,77,92.6,199,33.0,12.1,392330,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30052,Patient_52,7416-2504-9924,33,142,83,97.2,165,32.8,11.7,163731,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30053,Patient_53,4924-9615-5485,37,148,68,96.7,190,26.3,12.6,201024,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30054,Patient_54,9100-9684-1191,63,128,90,95.3,131,23.6,15.3,266712,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30055,Patient_55,9690-5917-6831,84,104,74,95.3,206,29.9,13.6,251121,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30056,Patient_56,5322-7999-8282,82,118,63,98.2,137,19.1,12.3,415976,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30057,Patient_57,2874-5763-9464,75,92,99,93.5,150,25.9,11.9,182332,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30058,Patient_58,2051-8538-8411,70,99,68,98.5,86,23.7,12.8,162467,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30059,Patient_59,7320-3105-1307,18,118,104,97.1,186,32.8,16.2,191025,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30060,Patient_60,8737-4359-4176,83,124,68,95.3,119,18.7,12.9,294179,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30061,Patient_61,2251-6366-2517,46,95,85,95.6,181,27.1,16.4,227994,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30062,Patient_62,7226-6305-6869,25,101,63,94.0,163,30.0,13.7,244202,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30063,Patient_63,9039-5891-5992,46,127,76,97.9,237,26.0,12.0,193481,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30064,Patient_64,2961-3863-7603,68,108,75,96.1,154,19.8,15.9,225118,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30065,Patient_65,5567-7513-5005,50,156,74,94.5,218,33.6,13.5,273714,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30066,Patient_66,1183-8755-4358,20,97,94,96.7,215,26.5,14.9,374699,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30067,Patient_67,7615-7797-9728,77,97,64,99.9,226,28.0,16.4,310185,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30068,Patient_68,8678-6698-2273,52,136,64,95.4,221,22.2,11.3,234363,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30069,Patient_69,7653-2096-9002,37,93,79,99.3,143,26.0,11.5,361027,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30070,Patient_70,5247-6314-4354,56,140,74,94.7,178,25.2,15.0,423958,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30071,Patient_71,1270-2186-7305,21,156,77,92.4,214,19.7,12.6,422168,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30072,Patient_72,3398-7995-8299,36,134,106,93.6,87,20.1,12.0,344360,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30073,Patient_73,5182-3230-7511,62,97,61,95.3,111,31.5,11.2,207836,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30074,Patient_74,1128-4672-5765,60,105,88,93.7,170,22.2,11.1,419579,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30075,Patient_75,4970-8545-6552,30,156,72,92.0,114,21.5,15.3,405095,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30076,Patient_76,1627-7589-3044,30,98,63,99.2,151,26.3,11.7,411176,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30077,Patient_77,3341-6884-9185,77,149,101,98.7,86,30.4,13.6,399717,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30078,Patient_78,1249-3925-6043,74,104,104,97.9,142,19.5,14.3,284479,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30079,Patient_79,1974-8192-3672,69,130,69,93.3,83,27.4,13.4,182940,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30080,Patient_80,8279-8531-9662,70,111,90,93.0,226,20.3,11.1,155666,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30081,Patient_81,2987-1090-9721,60,113,100,92.5,201,19.1,15.3,449266,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30082,Patient_82,5059-3773-9383,59,133,67,97.7,151,19.3,11.1,306164,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30083,Patient_83,8409-5440-8347,43,90,62,99.3,217,31.4,15.2,356717,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30084,Patient_84,2008-4783-7646,40,99,107,95.4,189,20.3,15.9,176505,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30085,Patient_85,5298-5668-5287,60,145,105,92.9,189,19.2,13.4,186713,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30086,Patient_86,3052-7009-2716,45,139,68,96.0,116,25.3,13.9,354354,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30087,Patient_87,1310-5538-2260,26,101,89,94.8,176,31.6,13.6,227511,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30088,Patient_88,4932-1584-8616,37,149,70,95.0,177,22.6,13.1,362204,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30089,Patient_89,9551-3866-6898,73,115,94,96.9,78,25.0,15.9,400694,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30090,Patient_90,3011-7251-5939,56,130,96,97.7,148,19.1,15.9,399836,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30091,Patient_91,5006-2625-1890,68,125,101,92.9,224,25.5,12.8,384561,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30092,Patient_92,7078-8036-9923,29,112,72,92.3,84,27.5,14.4,153880,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30093,Patient_93,4961-3504-9806,72,132,95,99.9,88,27.3,16.1,193539,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30094,Patient_94,4806-7100-2719,28,95,72,93.8,159,23.7,16.3,390056,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30095,Patient_95,7686-2587-8000,43,158,71,92.4,95,23.4,13.8,369057,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30096,Patient_96,1896-6558-9469,59,132,96,93.5,223,20.2,13.5,164799,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30097,Patient_97,5647-3432-4904,44,114,69,92.3,223,24.2,12.5,254843,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30098,Patient_98,7837-2449-5500,28,107,68,95.1,161,20.0,16.3,198784,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30099,Patient_99,6454-5117-9869,55,151,66,98.3,151,30.4,11.8,263034,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30100,Patient_100,3028-7845-4758,60,102,61,94.7,200,33.5,14.2,350598,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30101,Patient_101,6904-5624-9848,36,132,82,95.5,111,33.5,12.6,204362,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30102,Patient_102,1165-5591-1589,81,117,98,97.3,88,31.9,12.5,203997,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30103,Patient_103,5524-3821-7509,23,107,99,96.0,86,27.8,13.2,331413,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30104,Patient_104,8693-1071-4580,63,148,98,98.8,230,29.4,16.5,426693,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30105,Patient_105,8962-1268-3462,59,149,80,98.8,145,22.9,11.3,366398,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30106,Patient_106,2015-8984-1406,82,152,82,92.1,132,28.3,14.2,410464,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30107,Patient_107,8384-7049-7169,76,146,88,98.1,200,25.6,11.5,307255,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30108,Patient_108,8982-1985-5485,69,140,73,95.6,176,26.0,11.8,174624,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30109,Patient_109,9901-3618-7289,64,145,85,99.8,118,30.2,13.4,343587,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30110,Patient_110,7928-6368-5621,24,116,64,95.8,124,22.9,13.8,384784,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30111,Patient_111,8566-5670-8658,28,121,90,99.8,223,23.4,12.4,196705,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30112,Patient_112,2003-8504-3466,78,98,84,98.0,168,32.8,12.7,239326,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30113,Patient_113,2939-2635-9095,42,157,90,94.0,121,19.4,11.5,218369,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30114,Patient_114,7265-2895-7524,29,135,109,96.3,169,26.0,12.7,351893,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30115,Patient_115,2073-6184-3402,43,156,79,99.8,186,32.6,16.3,421733,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30116,Patient_116,5895-8331-2956,29,115,103,98.8,187,28.0,16.2,263012,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30117,Patient_117,8023-4907-1807,60,97,76,92.8,76,27.0,12.8,325858,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30118,Patient_118,9378-5827-5524,68,95,104,97.6,115,22.4,14.1,375758,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30119,Patient_119,3284-6313-1757,54,113,61,94.7,115,23.8,16.0,273711,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30120,Patient_120,5887-4854-4558,63,137,84,92.1,169,31.7,11.0,226425,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30121,Patient_121,1961-4847-7726,70,134,72,95.2,213,27.2,15.5,165994,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30122,Patient_122,4575-3418-5198,30,102,98,93.9,221,26.5,16.2,261915,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30123,Patient_123,2001-6244-8119,71,158,87,98.5,123,20.0,11.5,254672,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30124,Patient_124,5066-3845-9849,74,114,101,94.7,131,18.7,11.9,438783,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30125,Patient_125,6316-1422-7715,21,109,65,98.5,198,33.4,16.3,429349,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30126,Patient_126,5266-8549-7316,66,155,62,92.0,118,24.3,14.0,182930,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30127,Patient_127,3710-9644-9069,24,134,94,94.4,94,27.8,11.1,223313,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30128,Patient_128,2657-3541-7763,28,136,77,93.9,79,19.7,12.4,374923,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30129,Patient_129,4075-4164-3053,71,152,70,93.8,187,29.1,13.5,263153,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30130,Patient_130,9479-6737-4217,62,144,79,92.5,213,33.0,14.8,430460,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30131,Patient_131,2447-7009-1607,40,108,64,93.5,226,27.4,15.0,382911,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30132,Patient_132,5552-2764-3671,45,124,78,96.4,161,20.5,16.5,246058,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30133,Patient_133,7519-4962-4177,74,142,81,94.3,203,27.5,12.6,237876,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30134,Patient_134,4722-5906-8263,43,115,78,95.3,213,30.4,14.0,235366,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30135,Patient_135,6054-1808-1725,42,103,106,95.0,217,24.8,13.9,163403,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30136,Patient_136,8701-2216-5051,71,134,75,98.9,149,32.1,13.2,398550,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30137,Patient_137,3197-3806-9970,46,133,83,99.2,140,28.6,11.9,411420,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30138,Patient_138,1972-6634-8483,53,154,100,95.9,147,32.4,16.4,313004,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30139,Patient_139,3123-9790-1224,31,140,63,94.6,112,28.2,15.7,448845,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30140,Patient_140,2814-2106-1124,52,132,74,92.8,223,20.5,13.7,402396,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30141,Patient_141,4246-3931-3971,47,112,84,99.5,159,23.3,14.3,207241,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30142,Patient_142,3017-8415-3415,34,145,103,92.5,147,21.6,12.2,291439,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30143,Patient_143,4096-2609-1717,84,108,94,94.4,230,32.6,14.0,215030,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30144,Patient_144,4561-7782-2048,47,144,73,94.4,95,30.3,14.8,327577,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30145,Patient_145,9307-8905-6578,62,149,108,94.5,190,29.0,13.8,314404,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30146,Patient_146,2620-7548-8381,68,148,78,93.3,114,23.2,16.4,357397,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30147,Patient_147,5780-4792-3941,64,122,97,98.2,132,21.4,14.4,255185,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30148,Patient_148,6695-7401-7197,70,108,95,93.0,137,30.2,13.0,186404,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
